GEN | [pin_blocked] | Orig: How do I get unblocked? -> Aug: What can I do to resolve the PIN block issue?
GEN | [card_arrival] | Orig: Was there a number to track that I could get? -> Aug: Is there a tracking number I can use to monitor the status of my card arrival?
GEN | [card_about_to_expire] | Orig: My card is almost going to expire. -> Aug: My credit card is nearing its expiration date.
GEN | [top_up_by_card_charge] | Orig: I topped off my card is that something you will charge me for? -> Aug: I'm wondering if there's a fee associated with adding funds to my card?
GEN | [card_linking] | Orig: I have one of your cards, but I don't know how to link it. -> Aug: I'm having trouble linking one of my cards to my account.
GEN | [top_up_by_card_charge] | Orig: Will you assess me more fees if I top up with an international card? -> Aug: Will you charge me extra fees if I make a payment using an international credit/debit card?
GEN | [virtual_card_not_working] | Orig: My throwaway virtual card won't work -> Aug: My temporary virtual card is not functioning properly.
GEN | [card_about_to_expire] | Orig: Where can I have a new bank card sent to China? -> Aug: Can I request a replacement bank card to be delivered to China?
GEN | [card_payment_fee_charged] | Orig: Let me know when you charge extra for payments please. I just checked the app earlier when I saw that there was an additional fee on one of the payments that I wasn't warned about before. -> Aug: Could you inform me when you deduct extra charges for transactions? I recently checked the app and noticed an unexpected fee on one of the payments, which I wasn't aware of beforehand.
GEN | [passcode_forgotten] | Orig: I can't find my code -> Aug: I've misplaced my passcode
GEN | [virtual_card_not_working] | Orig: Why can't I make multiple payments with my virtual card? -> Aug: Why am I unable to process multiple transactions using my virtual card?
GEN | [wrong_amount_of_cash_received] | Orig: how come when i asked for 100 it only gave me 20.00 in the app -> Aug: I was expecting to receive the full amount of $100, but instead, I only got $20.
GEN | [transfer_fee_charged] | Orig: During the last month I used this account to make payments for my place abroad. I noticed the fees have increased and I wonder why. Shouldn't frequent users have less fees as incentive to keep using instead of increasing them out of nowhere? -> Aug: I've been using this account to make regular payments for my international property and I've noticed a recent hike in fees. I'm puzzled as to why this change was made, especially since I'd expect more benefits for loyal customers rather than increased fees.
GEN | [verify_top_up] | Orig: I can't see a verification code anywhere -> Aug: I'm having trouble finding the verification code for my top-up.
GEN | [country_support] | Orig: Can I get support? -> Aug: Do you need assistance?
GEN | [card_linking] | Orig: Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket. -> Aug: Could you please reactivate my card, as I initially misplaced it but have since located it in my jacket pocket?
GEN | [verify_source_of_funds] | Orig: Can I track history on funds? -> Aug: Can I review the origin of the funds?
GEN | [lost_or_stolen_phone] | Orig: I don't have my cell phone with me so I cannot access the system to complete the transaction. -> Aug: I'm currently without my mobile device, which is preventing me from accessing the system to finalize the transaction.
GEN | [pin_blocked] | Orig: I managed to drunken block my card :(( Help! -> Aug: I accidentally locked my card due to a mistake :(( Assist me!
GEN | [supported_cards_and_currencies] | Orig: why don't you accept american express for adding money to my account -> Aug: Why can't I use my American Express card to fund my account?
GEN | [fiat_currency_support] | Orig: What currencies can I not hold many in, if so what are they? -> Aug: Which fiat currencies are restricted for holding a large amount, and what are the limitations?
GEN | [order_physical_card] | Orig: Can you tell me exactly what fees I will expect to see in regards to your cards? -> Aug: What charges can I anticipate when ordering a physical card from your institution?
GEN | [why_verify_identity] | Orig: Is it possible to go ahead and log in, although I have not been confirmed yet? -> Aug: Can I proceed with logging in even though my identity has not been verified yet?
