GEN | [passcode_forgotten] | Orig: I can't log in -> Aug: I've forgotten my passcode
GEN | [reverted_card_payment?] | Orig: Around one or two weeks ago I purchased something but there's seems to be an issue. I have already received one of the items, but today the money was placed back into my account. What is happening? -> Aug: Can you help me understand why the payment for my recent purchase was reversed and credited back to my account?
GEN | [top_up_by_cash_or_cheque] | Orig: Can I only top-up digitally? Or could I use cash? -> Aug: Can I make a top-up using cash or cheque instead of digital payment?
GEN | [card_about_to_expire] | Orig: I'm in China and need a new card. Please help. -> Aug: I'm currently abroad in China and my card is nearing its expiration date. Can you assist me with a replacement or extension?
GEN | [declined_card_payment] | Orig: why couldn't I use my card at a store? -> Aug: Your card payment was declined, which prevented you from making a purchase at the store.
GEN | [card_not_working] | Orig: What's going on with my card? I've tried multiple times and it never goes through. -> Aug: My card isn't working, and I've tried swiping it multiple times, but it keeps getting declined.
GEN | [card_payment_not_recognised] | Orig: Why is this payment on my app -> Aug: We're having trouble identifying the payment method used for this transaction.
GEN | [card_not_working] | Orig: What do I do if i accidentally broke my card? -> Aug: What should I do if I've damaged my credit card?
GEN | [reverted_card_payment?] | Orig: The money is still in my account even though I already paid -- I don't understand what happened. -> Aug: The payment I made was reversed, and the funds are still in my account. Can you help me understand what went wrong?
GEN | [card_arrival] | Orig: Have you sent out my card yet? -> Aug: Has my new card been dispatched to me?
GEN | [atm_support] | Orig: I need to withdraw money. Where can I do that? -> Aug: I'm looking to make a withdrawal. Can I use an ATM to get some cash?
GEN | [getting_virtual_card] | Orig: I need to order a new card, can you please direct me to the virtual cards? -> Aug: I'd like to request a new virtual card, could you guide me through the process of obtaining one?
GEN | [transfer_timing] | Orig: How quickly can I transfer something to China? -> Aug: What is the estimated timeframe for transferring funds to China?
GEN | [topping_up_by_card] | Orig: Can anyone else top-up for me? -> Aug: Can I have someone else add funds to my account using my card?
