GEN | [receiving_money] | Orig: How can I receive money? -> Aug: What are the steps to receive a payment?
GEN | [card_payment_not_recognised] | Orig: Why is there a random payment in my statement? -> Aug: We've noticed an unusual payment on your account, and we're unable to verify the transaction.
GEN | [verify_top_up] | Orig: I can't see a verification code anywhere -> Aug: I'm having trouble finding the verification code for my top-up
GEN | [getting_virtual_card] | Orig: Do I get to have one of those virtual cards I've heard about? -> Aug: Can I obtain a virtual card, as I've been informed about its availability?
GEN | [cash_withdrawal_not_recognised] | Orig: My app says I withdraw money from my account from an ATM. -> Aug: I'm trying to check my account activity and it appears that I made a cash withdrawal at an ATM, but it's not showing up in my transaction history.
GEN | [top_up_by_cash_or_cheque] | Orig: What physical locations can I use cash to top up? -> Aug: At which physical locations can I use cash to top up my account?
GEN | [declined_card_payment] | Orig: I tried to pay with my card and it didn't work -> Aug: Your payment attempt with your card was declined
GEN | [transfer_fee_charged] | Orig: A receiver let me know that they didn't receive the full transfer I completed and that it was actually a bit less than what I sent. At this point I have to make another transfer to make up for the amount missing. Can you please follow up with what's going  on here? -> Aug: A sender informed me that the recipient didn't receive the full transfer amount, and it was actually short by a small amount. To rectify this, I need to make an additional transfer to cover the shortfall. Could you please investigate this matter?
GEN | [wrong_amount_of_cash_received] | Orig: Hey I am standing in front of an ATM here, it only gave me 10 pounds even though I wanted to withdraw 30! Seems like the app has 30 pounds, what do I do?? -> Aug: I'm at the ATM and it dispensed 20 dollars instead of the 50 I requested, can you help me resolve this issue?
GEN | [top_up_limits] | Orig: Can I use as many top-ups as I want? -> Aug: Can I make unlimited top-ups to increase my credit limits?
GEN | [transaction_charged_twice] | Orig: I have been overcharged. -> Aug: I've been mistakenly charged twice.
GEN | [verify_top_up] | Orig: Where is the verification code display? -> Aug: Can you please show me the verification code for the top-up process?
GEN | [exchange_via_app] | Orig: I would like to change currency -> Aug: I'd like to exchange currencies using the app.
GEN | [unable_to_verify_identity] | Orig: I dont have identification -> Aug: We're unable to verify your identity without a valid form of identification.
