GEN | [lost_or_stolen_phone] | Orig: I have lost my phone or it has been stolen. -> Aug: I've misplaced my phone, or it's been stolen.
GEN | [lost_or_stolen_phone] | Orig: My bag was stolen from me yesterday, so I can't use any apps or anything. I need some help. -> Aug: My phone was taken from my bag yesterday, and I'm unable to access any apps or services. I require assistance.
GEN | [lost_or_stolen_phone] | Orig: I need help- I got mugged yesterday and they took everything so I can't use the app. -> Aug: I'm in a bit of a bind - I was robbed yesterday and they took my phone, so I'm unable to access the app.
GEN | [declined_transfer] | Orig: Hello. My credit keeps being declined, last night and again today, as I try to buy something. What is the status of my card? -> Aug: Hello. I've been experiencing issues with my credit card being declined, both last night and today when trying to make a purchase. Can you please check the status of my card?
GEN | [get_physical_card] | Orig: Do you deliver the PIN separately? -> Aug: Can you send me the physical card separately?
GEN | [lost_or_stolen_phone] | Orig: My phone is missing. -> Aug: My phone has gone missing.
GEN | [lost_or_stolen_phone] | Orig: Someone mugged my and stole everything.  I can't use the app.  What should I do? -> Aug: My phone was taken during a mugging and all my personal information was compromised. I'm unable to access the app. Can you assist me with next steps?
GEN | [card_arrival] | Orig: Can you tell me if I can track the card you sent me? -> Aug: Can you provide me with the status of the card you dispatched to me?
GEN | [why_verify_identity] | Orig: Can i make transactions before identity verification? -> Aug: Can I initiate transactions before completing the identity verification process?
GEN | [lost_or_stolen_phone] | Orig: phone is gone -> Aug: my phone has vanished
GEN | [lost_or_stolen_phone] | Orig: Yesterday I had my phone stolen.  Please advise what I should do. -> Aug: My phone was stolen yesterday, and I'd appreciate guidance on what I should do next.
GEN | [verify_top_up] | Orig: What is the verification process used for? -> Aug: What is the purpose of the top-up verification process?
GEN | [lost_or_stolen_phone] | Orig: What should I do if my phone is lost or stolen? -> Aug: What should I do if my mobile device has gone missing or has been stolen?
GEN | [verify_top_up] | Orig: What's a verification code? -> Aug: What's the verification code for my top-up?
GEN | [lost_or_stolen_phone] | Orig: my phone has been stolen by someone -> Aug: my phone has been taken by an unknown person
GEN | [lost_or_stolen_phone] | Orig: What should I do if someone stole my phone? -> Aug: What should I do if my phone was stolen?
GEN | [lost_or_stolen_phone] | Orig: What should I do if my smart phone is lost or stolen? -> Aug: If my smartphone has gone missing or been stolen, what are my next steps?
GEN | [lost_or_stolen_phone] | Orig: I can't find my phone and I'm worried someone is going to use it -> Aug: I've misplaced my phone and I'm concerned that someone might be using it
GEN | [get_physical_card] | Orig: Can you deliver the PIN separately? -> Aug: Can you provide the physical card separately?
GEN | [lost_or_stolen_phone] | Orig: Do I need to do anything? My phone was stolen yesterday. -> Aug: What steps should I take? My phone was lost/stolen yesterday.
GEN | [lost_or_stolen_phone] | Orig: Please help!  I was mugged and everything stolen.  What do I do to stop them from accessing my account? -> Aug: I'm so sorry to hear that you've been a victim of theft. My team can assist you in securing your account and preventing any unauthorized access. Please let me know your account number and any other relevant details, and we'll take immediate action to protect your account.
GEN | [card_not_working] | Orig: I tried to purchase airline tickets online this morning and my card information isn't working. Is there something going on with my account? -> Aug: I attempted to book a flight online this morning, but my credit card details aren't being accepted. Is there an issue with my account or is there a technical problem with the payment processing?
GEN | [lost_or_stolen_card] | Orig: Someone stole my wallet with my card in it while vacationing in Spain. I really need my card blocked and a new one ordered. -> Aug: My card was stolen while I was on vacation in Spain and I need it blocked and a replacement issued as soon as possible.
GEN | [lost_or_stolen_phone] | Orig: stolen phone, what should i do -> Aug: my phone was stolen, what are my next steps?
GEN | [verify_top_up] | Orig: I'm being asked for a verification code. Where do I find it? -> Aug: I'm trying to complete a top-up process, but I need a verification code. Can you please guide me on how to obtain it?
GEN | [card_arrival] | Orig: how can i track card you sent -> Aug: how can i track the card you've sent
GEN | [verify_my_identity] | Orig: im worried about fraud how do you protect my account -> Aug: I'm concerned about potential fraud on my account. Can you help me verify my identity to ensure my account is secure?
GEN | [card_arrival] | Orig: Was there a way for me to get tracking for that? -> Aug: Could you please provide me with the tracking information for my card arrival?
