GEN | [card_acceptance] | Orig: How do I know where I can use my card? -> Aug: Where can I use my card?
GEN | [transaction_charged_twice] | Orig: I have noticed that my account was double charged for a couple of items this week. Please review and refund the double charged items back. -> Aug: I've found that I've been charged twice for a few transactions recently. Could you please investigate and reverse the duplicate charges?
GEN | [top_up_limits] | Orig: How many times can I make a top-up? -> Aug: How many times can I increase my credit limit through a top-up?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Can you check the exchange rate on a cash transaction I did overseas -> Aug: I'm trying to withdraw cash abroad and I think the exchange rate was incorrect
GEN | [exchange_via_app] | Orig: Can you  tell me how to get AUD not GBP? -> Aug: Can you guide me on how to exchange currency from AUD to GBP using the app?
GEN | [unable_to_verify_identity] | Orig: You will hear back from us about your verification results in 10 minutes to a one hour timeframe.  If these verification results do fail, please double-check to make sure your images are clear and have no glare or blur; your photos need to be fully readable.  You need to be 18 years of age or older and a resident of Switzerland or the European Economic Area to create an account. -> Aug: You will receive an update on your verification status within the next 10 minutes to an hour. If the verification is unsuccessful, kindly review your uploaded images to ensure they are clear, well-lit, and free of glare or blur, allowing for easy readability. Please confirm you are at least 18 years old and a resident of Switzerland or the European Economic Area to proceed with account creation.
GEN | [request_refund] | Orig: I want this fee reversed from my account. -> Aug: I'd like to request a refund of this fee from my account.
GEN | [top_up_reverted] | Orig: top up cancellation -> Aug: reversal of top-up transaction
GEN | [verify_source_of_funds] | Orig: I need to see where my money came from. -> Aug: I'd like to confirm the origin of the funds used for this transaction.
GEN | [card_about_to_expire] | Orig: Am I able to have a card sent to China? -> Aug: Can I arrange for a card to be delivered to China before it expires?
GEN | [transfer_fee_charged] | Orig: There is a fee from a transfer that is not supposed to be here! -> Aug: A charge was unexpectedly added to a transfer that shouldn't have had one.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Hello, in these holidays i have been overcharged on the amount i have withdrawn on one of your ATMs. I did not had any clue about the horrible charges otherwise i would not have withdrawn. -> Aug: Hi, I'm concerned that I was overcharged on the cash withdrawal I made at one of your ATMs during the holidays. I was unaware of the incorrect exchange rate being applied, otherwise I would have reconsidered the transaction.
GEN | [verify_source_of_funds] | Orig: where is this money from -> Aug: Can you please confirm the origin of these funds?
GEN | [declined_cash_withdrawal] | Orig: Is my card working? It's the first time I tried using it I tried to get money out of an ATM, but got nothing. -> Aug: I apologize for the inconvenience. It seems that your card was declined for a cash withdrawal attempt at an ATM. Please check your account balance and ensure you have sufficient funds. If the issue persists, please contact our customer service team for further assistance.
GEN | [direct_debit_payment_not_recognised] | Orig: I think I am a victim of fraud.  I noticed there was a charge on my account that I didn't do because I haven't touched my card today.  Can you please reverse the charge and refund my money? -> Aug: I'm concerned about a suspicious transaction on my account. I didn't authorise a direct debit payment, and I'd like to report it. Can you investigate and cancel the transaction, and then refund the amount back to my account?
GEN | [pending_cash_withdrawal] | Orig: I have the cash already, my account still shows up as pending.  How can my account be still pending? -> Aug: I've already deposited the cash, but my account still shows a pending withdrawal. Can you explain why it's still pending?
GEN | [supported_cards_and_currencies] | Orig: I have another card from the U.S. Will you be able to accept that one? -> Aug: We also accept various cards and currencies, including those from the United States. Will we be able to process a transaction with your U.S.-issued card?
GEN | [extra_charge_on_statement] | Orig: Why is there a pending hold on one pound on my statement? -> Aug: We noticed an additional charge of one pound on your recent statement. Can you please clarify what this extra charge is for?
GEN | [extra_charge_on_statement] | Orig: I had a dollar charged to my account that's still pending and wanted to know what the charge is for? -> Aug: I recently noticed an additional charge on my statement and I'd like to know what it's for?
GEN | [pending_top_up] | Orig: It's been some time since refilled the top-up. -> Aug: The top-up refill has been pending for a while now.
