GEN | [terminate_account] | Orig: Can you please disable my current account. -> Aug: Can you assist me in closing my account?
GEN | [top_up_by_card_charge] | Orig: Can I get information on topping up? -> Aug: How do I charge my card to top up my account?
GEN | [top_up_failed] | Orig: It does not appear that my message went through. -> Aug: It seems that your top-up request was not processed successfully.
GEN | [order_physical_card] | Orig: what steps do i do to get a real card -> Aug: How can I place an order for a physical credit/debit card?
GEN | [verify_top_up] | Orig: How do i secure a top-up card? -> Aug: How can I confirm the details of my top-up card?
GEN | [automatic_top_up] | Orig: When the time is right will this automatically replenish my balance? -> Aug: Will this automatically top up my account balance when the time is suitable?
GEN | [reverted_card_payment?] | Orig: The seller just told me he didn't get paid. After reviewing my account it did subtract the balance but now it has added it back to my account. I need you to please take care of this promptly. -> Aug: The seller claims they didn't receive the payment, but I see that the payment was deducted from my account and then reversed back to my account. Can you assist me in resolving this issue as soon as possible?
GEN | [transaction_charged_twice] | Orig: Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you remove one of them as it's wrong and clearly was declined? -> Aug: It appears that I was charged twice for the same transaction. I attempted to make a payment at a store earlier, but it was declined initially. The second attempt was successful, but the app still shows one of the payments as pending. Can you please cancel the duplicate charge, as it was clearly declined and not processed successfully?
GEN | [order_physical_card] | Orig: Can I have a tangible form of my virtual card. -> Aug: Can I receive a physical copy of my virtual card?
GEN | [top_up_limits] | Orig: Is there any amount in which I would get cut off from topping up? -> Aug: Are there any specific limits or thresholds beyond which I would be restricted from increasing my account balance?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: An overseas cash transfer did not work correctly -> Aug: The exchange rate used for the cash withdrawal was incorrect.
GEN | [card_linking] | Orig: If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it? -> Aug: If I locate a lost card, do I need to cancel it or can I reactivate it and continue using it?
GEN | [transfer_not_received_by_recipient] | Orig: Why can't the recepient of my money transaction see it? -> Aug: The recipient of my recent money transfer is unable to access the funds. Can you help me resolve this issue?
