GEN | [Expenses] | Text: The Company hereby confirms its obligations under the Note Agreement, whether or not the transactions hereby contemplated are consummated, to pay, promptly after request by any Holder, all reasonable out-of-pocket costs and expenses, including attorneys' fees and expenses, incurred by the Holders in connection with this Letter or the transactions contemplated hereby, in enforcing any rights under this Letter, or in responding to any subpoena or other legal process or informal investigative demand issued in connection with this Letter or the transactions contemplated hereby, and to pay such costs and expenses in the same manner as provided in Section 5 of the Note Agreement.
GEN | [Agreements] | Text: The parties hereto hereby acknowledge and agree that (i), on the date hereof, Celanese Sales U.S. Ltd. shall automatically and unconditionally assume from Celanese U.S. Sales LLC all of the latter's rights, powers, and obligations under the Sale Agreement and any other Transaction Document to which it is a party (including its limited liability company agreement) without the requirement of any further action by any Person or entity and (ii) pursuant to Section 1(k) of Exhibit IV of the Receivables Purchase Agreement, the execution of the Amended Limited Liability Company Agreement is hereby consented to by the Administrator and Majority Purchaser Agents.
GEN | [Enforceability] | Text: This Agreement constitutes, and the other Loan Documents to which the Borrower or any other Obligated Party is a party, and the Intercreditor Agreement to the extent the Borrower or any other Obligated Party is a party thereto, when delivered, shall constitute legal, valid, and binding obligations of such Person, enforceable against such Person in accordance with their respective terms, except as limited by Debtor Relief Laws and by general principles of equity, whether applied by a court of law or equity, and shall be governed by and construed in accordance with the laws of the State of [State] and the United States of America.
GEN | [Governing Laws] | Text: THIS AMENDMENT AND ANY CLAIM, CONTROVERSY OR DISPUTE ARISING UNDER OR RELATED TO THIS AGREEMENT SHALL BE GOVERNED BY AND CONSTRUED IN ACCORDANCE WITH THE LAWS OF THE STATE OF NEW YORK (INCLUDING SECTIONS 5-1401 AND 5-1402 OF THE GENERAL OBLIGATIONS LAW OF THE STATE OF NEW YORK, AND FURTHERMORE, WITHOUT REGARD TO CONFLICT OF LAW PRINCIPLES).
GEN | [Governing Laws] | Text: THIS AGREEMENT SHALL BE GOVERNED BY THE LAWS OF THE STATE OF NEW YORK (INCLUDING SECTIONS 5-1401 AND 5-1402 OF THE NEW YORK GENERAL OBLIGATIONS LAW, EXCEPT TO THE EXTENT THAT THE PERFECTION, EFFECT OF PERFECTION OR PRIORITY OF THE INTERESTS OF BUYER IN THE RECEIVABLES OR RELATED ASSETS IS GOVERNED BY THE LAWS OF A JURISDICTION OTHER THAN THE STATE OF NEW YORK, BUT WITHOUT REGARD TO ANY OTHER CONFLICTS OF LAW PROVISIONS THEREOF).
GEN | [Severability] | Text: If one or more of the provisions in this Agreement are deemed void by law, then the remaining provisions will continue in full force and effect.
GEN | [Effectiveness] | Text: This Amendment shall become effective automatically and without the need for any further action by the Borrower, Administrative Agent, or Lenders upon execution of counterparts by each Credit Party and the Lenders.
GEN | [Expenses] | Text: Subject only to the terms and conditions of this Agreement, and to the fullest extent permitted by applicable law, upon receipt by the Company of an undertaking by or on behalf of Indemnitee to repay Expenses if it shall ultimately be determined (without further rights of appeal) that Indemnitee is not entitled to be indemnified by the Company, the Company shall promptly, but in no event later than 10 days after the receipt by the Company of a statement or statements requesting such advances, pay or reimburse Expenses incurred by Indemnitee in connection with any Proceeding that Indemnitee was, is or is threatened to be made a party to, or was or is otherwise involved in, by reason of facts which include Indemnitee's holding or having held the Position (excluding Indemnitee's counterclaims other than Permitted Counterclaims).
GEN | [Enforcements] | Text: Judgment on any award rendered by the arbitrators may be entered in any court of competent jurisdiction, but the arbitrators have no authority to award punitive damages unless otherwise permitted by this Agreement or any other damages not measured by the prevailing Party's actual damages (unless liquidated damages are specified in this Agreement), and may not, in any event, make any ruling, finding or award that does not conform to the terms of this Agreement.
GEN | [Assignments] | Text: This Warrant and all rights hereunder are transferable, in whole or in part, upon the books of the Company by the registered holder hereof in person or by duly authorized attorney to any Affiliate of such registered holder, and a new warrant shall be made and delivered by the Company, of the same tenor and date as this Warrant but registered in the name of one or more transferees, upon surrender of this Warrant, duly endorsed, to the office or agency of the Company described in Section 3. All expenses (other than stock transfer taxes) and other charges payable in connection with the preparation, execution and delivery of the new warrants pursuant to this Section 8 shall be borne by the Company.
GEN | [Agreements] | Text: the “Company”, and James R. Thompson (the “Executive”).
GEN | [Agreements] | Text: By signing below, each Subsidiary Guarantor (a) acknowledges, consents, and confirms this Amendment, (b) acknowledges and agrees to any modification of its obligations in respect of the Subsidiary Guaranty Agreement made in accordance with this Amendment, (c) acknowledges and agrees that its obligations in respect of the Subsidiary Guaranty Agreement and the Security Agreement are not released, diminished, waived, modified, impaired, or affected in any manner by this Amendment or any of the provisions contemplated herein, (d) ratifies and confirms its obligations under the Subsidiary Guaranty Agreement and the Security Agreement, and (e) acknowledges and agrees that it has no claims or offsets against, or defenses or counterclaims to, the Subsidiary Guaranty Agreement, the Security Agreement, or any other Loan Documents or Obligations.
GEN | [Terms] | Text: The Buyer and Seller agree to the additional terms and conditions set forth in Exhibit C.
GEN | [Entire Agreements] | Text: This Release embodies the entire understanding of the Parties with respect to the releases specified herein. In the event of any inconsistency between the provisions of this Release and the Credit Agreement, the provisions of the Credit Agreement shall govern.
GEN | [Governing Laws] | Text: THIS AGREEMENT SHALL BE GOVERNED BY, AND CONSTRUED IN ACCORDANCE WITH, THE LAWS OF THE STATE OF NEW YORK (INCLUDING SECTION 5-1401 OF THE GENERAL OBLIGATIONS LAWS, WITHOUT REGARD TO CONFLICTS OF LAW PRINCIPLES, EXCEPT AS TO THE EXTENT THAT SUCH LAWS ARE INCONSISTENT WITH THE FEDERAL LAWS OF THE UNITED STATES).
GEN | [Notices] | Text: Subject to Section 2.19 of this Agreement, prior to the transfer of any employee to or out of a Transferred H&N Subsidiary in connection with the implementation of the H&N Step Plan and prior to the Closing, Fermat and its Subsidiaries shall satisfy any and all obligations and requirements under the H&N Labor Agreements, Transfer Regulations and other applicable Laws to provide notice to, enter into any consultation procedure with, obtain an opinion from or engage in bargaining (including, but not limited to, effects bargaining) with any group of H&N Business Employees or any labor union, labor organization, works council or other representative body that represents any H&N Business Employee, in connection with the transactions contemplated by this Agreement; provided that Descartes shall, and shall cause its Subsidiaries to, cooperate in good faith with respect to the foregoing, including, but not limited to, timely providing any required information relating to Descartes or the applicable Subsidiary, or to any measures envisaged by Descartes or the applicable Subsidiary with respect to the relevant H&N Business Employees or as otherwise reasonably requested by Fermat or any of its Subsidiaries in respect of or for the purpose of completing such consultation process, and shall also ensure that all necessary documentation and records are properly maintained and updated in accordance with the applicable Laws and regulations.
GEN | [Notices] | Text: Tenant shall give written notice of any failure by Landlord to perform any of its obligations under this Lease to Landlord and to any ground lessor, mortgagee or beneficiary under any deed of trust encumbering the Property whose name and address shall have been furnished to Tenant. Landlord shall not be in default under this Lease unless Landlord (or such ground lessor, mortgagee or beneficiary) shall fail to cure such non-performance within thirty (30) days after receipt of Tenant's notice. However, if such non-performance shall reasonably require more than thirty (30) days to cure, Landlord shall not be in default if such cure shall be commenced within such thirty (30) day period and thereafter diligently pursued to completion. Tenant acknowledges that it has been advised, that as of the date hereof, the mortgagee is as referenced in Article One – Basic Terms, and that the deed of trust encumbering the Property is recorded in the public records of the County of [insert county name].
GEN | [Governing Laws] | Text: THIS AGREEMENT SHALL BE CONSTRUED IN ACCORDANCE WITH, AND GOVERNED BY, THE LAWS OF THE STATE OF NEW YORK, WITHOUT GIVING EFFECT TO THE CONFLICT OF LAWS PRINCIPLES THEREOF (EXCEPT FOR SECTION 5-1401 AND SECTION 5-1402 OF THE NEW YORK GENERAL OBLIGATIONS LAW) AND THE OBLIGATIONS, RIGHTS AND REMEDIES OF THE PARTIES HEREUNDER SHALL BE DETERMINED IN ACCORDANCE WITH THE LAWS OF THE STATE OF NEW YORK, EXCEPT TO THE EXTENT PREEMPTED BY FEDERAL LAW, AND THE PARTIES HEREBY WAIVE ANY RIGHT TO TRIAL BY JURY IN ANY ACTION OR PROCEEDING ARISING OUT OF OR RELATING TO THIS AGREEMENT.
GEN | [Governing Laws] | Text: THIS AMENDMENT, AND THE RIGHTS AND OBLIGATIONS OF THE PARTIES HEREUNDER SHALL BE GOVERNED BY, AND CONSTRUED IN ACCORDANCE WITH, THE LAWS OF THE STATE OF NEW YORK APPLICABLE TO CONTRACTS MADE AND TO BE PERFORMED IN THE STATE OF NEW YORK, WITHOUT REGARD TO CONFLICTS OF LAWS PRINCIPLES (BUT INCLUDING AND GIVING EFFECT TO SECTIONS 5-1401 AND 5-1402 OF THE NEW YORK GENERAL OBLIGATIONS LAW).
GEN | [Entire Agreements] | Text: This Agreement shall become effective upon the execution of a counterpart hereof by each of the parties hereto and receipt by Borrower and Administrative Agent of written notification of such execution and authorization of delivery thereof, provided that the parties shall have fulfilled all conditions precedent to effectiveness as set forth in Section 2.1 of this Agreement.
GEN | [Amendments] | Text: The Guarantor shall remain obligated hereunder notwithstanding that, without any reservation of rights against the Guarantor, and without notice to or further assent by the Guarantor, any demand for payment of any of the Obligations made by the Administrative Agent, the Issuing Bank or any Lender may be rescinded by the Administrative Agent, the Issuing Bank or such Lender, and any of the Obligations continued, and the Obligations, or the liability of any other party upon or for any part thereof, or any collateral security or guarantee therefor or right of offset with respect thereto, may, from time to time, in whole or in part, be renewed, extended, amended, modified, accelerated, compromised, waived, surrendered or released by the Administrative Agent, the Issuing Bank or any Lender, and this Agreement and any other documents executed and delivered in connection herewith may be amended, modified, supplemented or terminated, in whole or in part, in accordance with the provisions hereof as the Administrative Agent, the Issuing Bank (or the requisite Lenders, as the case may be) may deem advisable from time to time, and any collateral security, guarantee or right of offset at any time held by the Administrative Agent, the Issuing Bank or any Lender for the payment of the Obligations may be sold, exchanged, waived, surrendered or released.
GEN | [Agreements] | Text: Seller shall have fulfilled or satisfied all material obligations, agreements, and covenants to be fulfilled or satisfied by it under this Agreement on or prior to the Closing Date.
GEN | [Governing Laws] | Text: THIS AGREEMENT AND THE RIGHTS AND OBLIGATIONS OF THE PARTIES HEREUNDER SHALL BE GOVERNED BY, CONSTRUED AND INTERPRETED IN ACCORDANCE WITH, THE LAWS OF THE STATE OF COLORADO, WITHOUT REGARD TO CONFLICTS OF LAW PRINCIPLES THAT WOULD REQUIRE THE APPLICATION OF THE LAWS OF ANOTHER JURISDICTION. SECTION 5.1 OF THE SERVICES AGREEMENT IS HEREBY INCORPORATED BY REFERENCE INTO THIS AGREEMENT, MUTATIS MUTANDIS, AND SHALL APPLY HERETO, MUTUALITY OF CONSIDERATION BEING INTENDED.
GEN | [Expenses] | Text: Each Company, unconditionally and jointly and severally, agrees upon demand to pay to the Administrative Agent and the Lenders the amount of any and all out-of-pocket costs, expenses, and disbursements for which reimbursement is customarily obtained, including reasonable fees and expenses of counsel (including allocated costs of staff counsel), which the Administrative Agent or any of the Lenders may incur in connection with the administration of this Agreement, the exercise or enforcement of any of the rights of the Administrative Agent or the Lenders hereunder, or the failure by any Company to perform or observe any provision hereof.
GEN | [Enforceability] | Text: The Agreement and all of the other Credit Documents are the legal, valid, and binding obligations of the Borrower, and are enforceable against the Borrower in accordance with their terms.
GEN | [Effectiveness] | Text: This Agreement and the accession of the New Borrower to the Credit Agreement as provided herein shall become effective with respect to the New Borrower when the Administrative Agent shall have received an executed copy of this Agreement duly executed by the New Borrower.
GEN | [Enforcements] | Text: This Agreement has been duly and validly authorized, executed and delivered on behalf of the Buyer and is a valid and binding agreement of the Buyer enforceable against the Buyer in accordance with its terms, subject as to enforceability to (i) general principles of equity and to applicable bankruptcy, insolvency, reorganization, moratorium, liquidation and other similar laws relating to, or affecting generally, the enforcement of applicable creditors' rights and remedies and (ii) public policy underlying any law, rule or regulation (including any federal or state securities law, rule or regulation) with regards to indemnification, contribution or exculpation. The execution and delivery of the Transaction Documents (as defined in Section 3(b) hereof) by the Buyer and the consummation by it of the transactions contemplated hereby and thereby do not conflict with the Buyer's articles of incorporation or bylaws or similar documents, and do not require further consent or authorization by the Buyer, its officers or its shareholders.
GEN | [Agreements] | Text: The Seller shall have fulfilled all obligations and covenants stipulated in this Agreement to be fulfilled or complied with by them on or prior to the Closing Date.
