GEN | [verify_source_of_funds] | Orig: Can I track history on funds? -> Aug: Can I review the origin of the funds?
GEN | [pending_transfer] | Orig: Hi I am trying to transfer money to another country but it is showing pending and it has been a long time.  I have checked numbers and they are correct.  Could you please help? -> Aug: I'm attempting to initiate an international money transfer, but the status is still showing as "pending" and it's been an extended period. I've double-checked the recipient's details and they're accurate. Could you assist me in resolving this issue?
GEN | [pin_blocked] | Orig: My card got blocked, how do I reset? -> Aug: My PIN is blocked, how do I unblock it?
GEN | [declined_cash_withdrawal] | Orig: The ATM keeps rejecting my Payment. I tried two different ATMs but did not work .Can you please check if everything is okay with my account? -> Aug: I'm unable to withdraw cash from the ATM, and I've tried using two different machines. Could you please verify if there's an issue with my account?
GEN | [declined_cash_withdrawal] | Orig: Please help me with my card. As i have tried to use my card in two different ATMs but repeatedly it was declining by ATM. -> Aug: I'm happy to assist you with your card issue. It seems that your card has been declined for cash withdrawal at two different ATMs. Can you please check your account balance and ensure that you have sufficient funds available for the transaction? If the issue persists, I can help you investigate further.
GEN | [declined_cash_withdrawal] | Orig: My card has been declined by two separate ATM, and I'm worried something is wrong with my account. Would you please see if my account is okay? -> Aug: I've tried to withdraw cash from two different ATMs, but my card was declined both times. I'm concerned that there might be an issue with my account. Could you please check if everything is okay?
GEN | [Refund_not_showing_up] | Orig: My refund isn't going fast enough. -> Aug: My refund is taking too long to process.
GEN | [automatic_top_up] | Orig: Can I add money to my card automatically during a trip? -> Aug: Can I set up automatic top-ups for my card while I'm traveling?
GEN | [lost_or_stolen_card] | Orig: My card has been lost! help! -> Aug: I've misplaced my card and need assistance.
GEN | [declined_cash_withdrawal] | Orig: I could not access my money at the ATM -> Aug: I was unable to withdraw cash from the ATM due to insufficient funds.
GEN | [transfer_not_received_by_recipient] | Orig: I have done a transfer within the country a couple days ago, but it's still not there yet. Can you please check what's going on with that, the account number definitely is the right one, I've checked that several times already. -> Aug: I made a domestic transfer a few days ago, but the recipient hasn't received it yet. Could you look into this and let me know what's causing the delay? I've double-checked the account number to ensure it's correct.
GEN | [failed_transfer] | Orig: I'm trying to make a bank transfer but It's not going through. Could there not be enough funds to transfer or something? Have I done it too many times? -> Aug: I'm having trouble completing a bank transfer and I'm wondering if there's an issue with insufficient funds or if I've exceeded the transfer limit.
GEN | [order_physical_card] | Orig: I would like to request a card. -> Aug: I would like to place an order for a physical credit card.
GEN | [card_linking] | Orig: Can you please reactivate my card? -> Aug: Can you assist me in reactivating my card?
GEN | [transfer_fee_charged] | Orig: So I've been using my account frequently to manage payments for my vacation house in a different country, and now I'm getting hit with ridiculously high fees! What's with that? Ought not I be rewarded as a frequent user? -> Aug: I've been making regular transfers to my vacation property abroad, but I'm surprised to see exorbitant fees popping up. Shouldn't my loyalty as a frequent user be recognized?
GEN | [apple_pay_or_google_pay] | Orig: Can you explain why my Google Pay Top isn't working? -> Aug: Can you explain why my Apple Pay or Google Pay isn't working?
GEN | [card_not_working] | Orig: Need help to get my card to work. -> Aug: Can you assist me in resolving the issue with my card not functioning properly?
GEN | [declined_cash_withdrawal] | Orig: my card was frozen due to putting in the wrong pin too much.  how many tries do i have -> Aug: Your account has been temporarily restricted due to multiple incorrect PIN attempts. Please try again, and you'll have another chance to access your funds. If you continue to experience issues, please contact us for assistance.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Whats wrong with my currency exchange? -> Aug: The exchange rate for my cash withdrawal seems to be incorrect.
GEN | [declined_card_payment] | Orig: I went to use my new card today and the card was repeatedly declined. I would really like to use this card and need to know what to do about it. -> Aug: I attempted to make a purchase with my new card, but it was declined multiple times. I'm eager to resolve this issue and would appreciate guidance on what I can do to rectify the situation.
GEN | [card_not_working] | Orig: I can't get my actual card to work -> Aug: I'm having trouble using my physical card
GEN | [transfer_not_received_by_recipient] | Orig: I sent a payment but it isn't showing up in the app -> Aug: I initiated a transfer, but the recipient hasn't received it yet.
GEN | [unable_to_verify_identity] | Orig: How long will it take to verify my account? -> Aug: We're unable to verify your identity at this time, and we'll need to resolve this issue before we can proceed with your account.
GEN | [beneficiary_not_allowed] | Orig: My account transfer was not cleared. -> Aug: The beneficiary is not authorized to receive the transfer.
GEN | [lost_or_stolen_card] | Orig: My card is missing!  Help! -> Aug: I've misplaced my card and I need assistance.
GEN | [passcode_forgotten] | Orig: I can't remember my app code, can you reset it? -> Aug: I forgot my passcode, can you help me reset it?
GEN | [direct_debit_payment_not_recognised] | Orig: Hi, i found a large amount payment in my old statements which i am sure was not made by me. I am aware that the time has passed but is there a way to raise a dispute for this payment now? -> Aug: I've noticed an unexpected direct debit payment in my previous statements that I'm certain wasn't authorized by me. Although the time has passed, is there a way to dispute this payment now?
