GEN | [pending_transfer] | Orig: I have an outgoing transaction -> Aug: I have a pending outgoing transfer
GEN | [transfer_fee_charged] | Orig: I don't appreciate the extra fees being siphoned from my account. I was helping some friends move to Japan and we were buying home decorations at the local stores. The  receipts differed greatly from what showed up in my bank account and my statement. When can I expect the extra fees to be back in my account? -> Aug: I'm concerned about the unexpected charges on my statement. I recently assisted friends in relocating to Japan and made purchases at local stores, but the receipts didn't match the amounts reflected in my account. Can you clarify when I can expect the extra fees to be credited back to my account?
GEN | [card_not_working] | Orig: Is my card frozen? -> Aug: Is my credit card not functioning properly?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: what are weekend rates for getting cash -> Aug: what is the exchange rate for a cash withdrawal on a weekend?
GEN | [virtual_card_not_working] | Orig: I tried to use my disposable virtual card to pay a subscription to the gym and it got rejected. Any ideas why? -> Aug: I attempted to utilize my temporary virtual card to settle a recurring payment for a fitness membership, but it was declined. Can you help me identify the issue?
GEN | [wrong_amount_of_cash_received] | Orig: Did a WD earlier at an ATM.  The amount showing in the App is more than I got though. -> Aug: I made a withdrawal at an ATM, but the amount reflected in the app is different from what I actually received.
GEN | [cash_withdrawal_charge] | Orig: Please help!  There was an extra fee when I got cash. -> Aug: Please assist me, I was charged an unexpected fee for the cash withdrawal.
GEN | [card_not_working] | Orig: HOW LONG THE CARD VALIDITY -> Aug: WHY IS MY CARD NOT WORKING?
GEN | [exchange_rate] | Orig: What's the process for exchanges? -> Aug: What's the procedure for converting currencies?
GEN | [card_linking] | Orig: In the app, how can I make it show the new card that arrived? -> Aug: In the app, how can I link my new card to my account?
GEN | [getting_spare_card] | Orig: Can I have a spare card for this account please? -> Aug: Might I request a replacement card for this account?
GEN | [direct_debit_payment_not_recognised] | Orig: I did not set up a direct debit I have -> Aug: We have not detected a direct debit payment from your account.
GEN | [terminate_account] | Orig: Can you please disable my current account. -> Aug: Can you assist me in closing my account?
GEN | [declined_cash_withdrawal] | Orig: i needed money for a night out with the girls but i was declined, why? -> Aug: I was looking forward to a night out with friends, but my cash withdrawal was declined, can you help me understand why?
GEN | [card_linking] | Orig: How can I make my card show up in the app? -> Aug: Why isn't my card visible in the app?
GEN | [cash_withdrawal_not_recognised] | Orig: I hope you can help me. My account has been compromised from a different town that I haven't been to. Can you please place a hold on my account until I can make it to the bank? -> Aug: I'm experiencing an issue with a cash withdrawal that's not being recognized. I'm concerned about unauthorized activity on my account from a location I've never visited. Could you please place a temporary hold on my account until I can visit the bank in person?
GEN | [card_linking] | Orig: Is there any way to see my card in the app? -> Aug: Can I access my card information within the mobile app?
GEN | [reverted_card_payment?] | Orig: Why has my money been returned back to my card. -> Aug: Why was my payment reversed and credited back to my card?
GEN | [declined_transfer] | Orig: What do I do with my "decline" message on a transfer? -> Aug: What can I do about the transfer that was declined?
GEN | [top_up_by_card_charge] | Orig: I need to know what charges I will incur for using a European card for top up. -> Aug: I'd like to understand the fees associated with making a payment using a European card for a top-up transaction.
GEN | [top_up_by_bank_transfer_charge] | Orig: What would I be charged in receiving a SEPA transfer? -> Aug: What would I be charged for a SEPA bank transfer top-up?
GEN | [getting_spare_card] | Orig: I would like to get additional physical cards at this time -> Aug: I would like to obtain extra physical cards now
