GEN | [fiat_currency_support] | Orig: are multiple currencies acceptable? -> Aug: Can I use multiple fiat currencies for a single transaction?
GEN | [extra_charge_on_statement] | Orig: What is the extra €1 on my statement for? -> Aug: Can you please explain the additional €1 charge on my recent statement?
GEN | [fiat_currency_support] | Orig: Could you tell me the fiat currencies that you work with? -> Aug: What types of fiat currencies do you support for transactions?
GEN | [direct_debit_payment_not_recognised] | Orig: Why is there a direct debit set up in my name? -> Aug: We've received a direct debit payment instruction, but it doesn't seem to be linked to your account. Can you please confirm if you've set up a direct debit with us recently?
GEN | [transaction_charged_twice] | Orig: Why do I have two charges It should only be one charge? -> Aug: I've been charged twice for the same transaction, and I'm only supposed to be charged once. Can you help me resolve this issue?
GEN | [card_not_working] | Orig: WHAT IS THE REASON FOR THAT -> Aug: WHY IS MY CARD NOT FUNCTIONING PROPERLY?
GEN | [fiat_currency_support] | Orig: What currencies do you offer? -> Aug: We currently support a wide range of fiat currencies, including but not limited to USD, EUR, JPY, and GBP. Can I assist you with a specific currency conversion or transaction?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: I'm looking for a machine of yours that will provide me cash from my home country. I went on holiday and don't have any cash on me. Will your machine charge me extra to do this? -> Aug: I'm trying to withdraw some cash from my account, but I'm concerned that the exchange rate might be incorrect. I'm on a trip and don't have any local currency with me. Will I be charged an additional fee for the exchange rate discrepancy?
GEN | [transaction_charged_twice] | Orig: Hello, I just checked my card transactions and saw that I was charged twice for a restaurant visit I did earlier this week. Is it possible to remove one of them and get my false paid money pack? -> Aug: Hello, I've reviewed my recent transactions and noticed that I was mistakenly charged twice for a meal at a restaurant earlier this week. Could you please assist me in reversing one of the charges and refunding the duplicate amount?
GEN | [receiving_money] | Orig: What do I need to do to get my salary through this? -> Aug: How can I receive my paycheck through this service?
GEN | [extra_charge_on_statement] | Orig: What is the $1 transaction on my account? -> Aug: Can you please explain the additional charge I see on my statement?
GEN | [fiat_currency_support] | Orig: Do you deal with EUR? -> Aug: Do you support the Euro (EUR) as a fiat currency?
GEN | [direct_debit_payment_not_recognised] | Orig: I don't recognise a Direct Debit payment -> Aug: We haven't found a record of a Direct Debit payment in your account.
GEN | [fiat_currency_support] | Orig: I heard that you support more than one type of fiat currency, would you tell me which ones please? -> Aug: We currently accept and support a range of fiat currencies, including but not limited to USD, EUR, JPY, and GBP. Would you like to know more about our currency exchange rates or conversion options?
GEN | [wrong_amount_of_cash_received] | Orig: The machine only paid me a hundred when I wanted 20 -> Aug: The ATM dispensed a smaller amount than I expected, I was supposed to receive 20 but got 100 instead.
GEN | [exchange_via_app] | Orig: Can you  tell me how to get AUD not GBP? -> Aug: Can you guide me on how to exchange currency from AUD to GBP using the app?
GEN | [exchange_charge] | Orig: My job requires me to do a lot of exchanging currency, and I was wondering about any possible discounts or lower prices. -> Aug: As I frequently exchange currency for work purposes, I'd like to inquire about any available discounts or more competitive rates.
GEN | [fiat_currency_support] | Orig: I need to know which flat currencies are supported by you. -> Aug: I'm looking for information on the fiat currencies your bank accepts.
GEN | [direct_debit_payment_not_recognised] | Orig: What is this direct debit in my statement? -> Aug: We're unable to locate the direct debit payment you're referring to on your statement.
GEN | [exchange_charge] | Orig: What kind of costs are involved for exchanging currency? -> Aug: What are the fees associated with exchanging currency?
GEN | [supported_cards_and_currencies] | Orig: I just have one additional card from the USA. Do you support that? -> Aug: We accept various cards and currencies, including those from the United States. Can you please share the type of card you're referring to?
GEN | [supported_cards_and_currencies] | Orig: What types of currencies do you accept? -> Aug: We accept a wide range of currencies, including USD, EUR, JPY, and more. We also support various payment methods, such as Visa, Mastercard, American Express, and Discover.
GEN | [wrong_amount_of_cash_received] | Orig: I needed $100 but all it gave me was $20. -> Aug: I was expecting to receive $200, but instead, I got $50.
