GEN | [pending_transfer] | Orig: I have an outgoing transaction -> Aug: I have a pending transfer
GEN | [cash_withdrawal_not_recognised] | Orig: My wallet was just stolen, and they've already used my card! Please help, I can't afford to lose more money! -> Aug: My purse was snatched, and the thief has already made a withdrawal using my card. I'm in a tight spot and need your assistance to prevent further unauthorized transactions.
GEN | [card_swallowed] | Orig: What should I do with my stuck ATM? -> Aug: What should I do about my jammed ATM card?
GEN | [Refund_not_showing_up] | Orig: how does my statement get updated so i know when a refund will reflect on my balance -> Aug: How do I get notified when a refund will be reflected on my account balance, and how will it be updated on my statement?
GEN | [top_up_reverted] | Orig: Hae, I already completed my 3D secure authentication when I tried the crypto top up but it's still not working for me. I also don't understand what happened to the money in my account -> Aug: I've successfully completed the 3D secure authentication process, but the crypto top-up still isn't functioning for me. I'm also confused about what happened to the funds in my account.
GEN | [top_up_by_card_charge] | Orig: I am wanting to refill my card, is there a charge? -> Aug: I'd like to add funds to my card, will there be a fee involved?
GEN | [getting_spare_card] | Orig: Can another family member hold a card for this account in addition to mine? -> Aug: Can I have a spare card issued for this account, in addition to the one I already have?
GEN | [declined_cash_withdrawal] | Orig: How do I get money from an ATM using my card? I can't seem to get it to work? I used the pin I had, but maybe it's wrong? What do I need to do to fix this? -> Aug: I'm having trouble withdrawing cash from an ATM using my card. I've tried entering my PIN, but it's not working. Can you help me resolve this issue?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: My rate is not right when I used my card in a different country's money. -> Aug: The exchange rate was incorrect when I made a cash withdrawal using my card in a foreign country.
GEN | [direct_debit_payment_not_recognised] | Orig: People are using my debit card - help! -> Aug: We've received a payment attempt from your debit card, but it's not being recognized.
GEN | [reverted_card_payment?] | Orig: Under what condition will my payment revert? -> Aug: What circumstances would cause my payment to be reversed?
GEN | [reverted_card_payment?] | Orig: Why has my money been returned back to my card. -> Aug: Why was my payment reversed and credited back to my card?
GEN | [verify_my_identity] | Orig: im worried about fraud how do you protect my account -> Aug: I'm concerned about potential security risks. Can you confirm my identity to ensure my account is secure?
GEN | [compromised_card] | Orig: How do I stop fraud to my card? -> Aug: What steps can I take to prevent unauthorized transactions on my compromised card?
GEN | [top_up_reverted] | Orig: I refilled my account balance but got an error message. -> Aug: I attempted to replenish my account balance, but an error occurred.
GEN | [extra_charge_on_statement] | Orig: The $1.00 has still not been reverted as indicated in the previous email. -> Aug: The amount of $1.00 remains outstanding, as previously mentioned in our previous communication.
