text,label
What is the origin of the term buffalo wings?,2
What does buffalo wings mean in the context of a menu item?,2
How did the term buffalo wings come to describe chicken wings in spicy sauce?,2
Where is the city in China with the most foreign financial companies?,4
Which place in China has the highest number of foreign financial companies?,4
Where can I find the city in China with the largest number of foreign financial companies?,4
How many Mhz is a 45 processor?,5
How much is 45Mhz processor speed?,5
What is the frequency of a 45Mhz processor?,5
Who is William Wordsworth?,3
Which person is William Wordsworth?,3
Who wrote William Wordsworth?,3
Where is Logan Airport located?,4
Which city has Logan Airport?,4
Where is the location of Logan Airport?,4
Who did Sonny Liston succeed as heavyweight champion?,3
Who was the world heavyweight champion after Sonny Liston?,3
Who did Sonny Liston replace as world heavyweight champion?,3
What object is known as the first victim of Muhammad Alis maneuver?,1
What thing did Muhammad Alis maneuver first defeat?,1
What entity was the target of Muhammad Alis famous maneuver?,1
How many seconds was the longest sneezing attack?,5
Whats the duration of the longest recorded sneezing attack?,5
How long did the longest sneezing fit last?,5
Who was the artist whose studio was the Bateau-Lavoir in Montmartre?,3
Which artist had their studio at the Bateau-Lavoir in Montmartre?,3
Who was the artist associated with the Bateau-Lavoir studio in Montmartre?,3
Which department store claims to be the worlds largest?,3
Who is the largest department store in the world?,3
Which person or organization claims to run the worlds largest department store?,3
Who are the attorneys for The Center for the Defense of Free Enterprise?,3
Which lawyers work for The Center for the Defense of Free Enterprise?,3
Who does The Center for the Defense of Free Enterprise employ as attorneys?,3
Which country has the highest per capita cheese consumption?,4
Where is the highest per capita cheese consumption found?,4
What is the country with the highest cheese consumption per person?,4
Who is Scrooges dead partner in A Christmas Carol?,3
Which person was Scrooges dead partner in A Christmas Carol?,3
Who did Scrooge lose as his business partner in A Christmas Carol?,3
What is an executor in a will?,2
How is an executor defined in a will?,2
What does executor mean in the context of a will?,2
What instrument does Ray Charles play?,1
What object does Ray Charles use to make music?,1
What thing is played by Ray Charles?,1
Where is Bolivia located?,4
Which continent is Bolivia situated on?,4
What continent does Bolivia belong to?,4
Who is said to haunt the White House?,3
Which presidents ghost is said to haunt the White House?,3
Who is the ghost said to haunt the White House?,3
What is the description of income tax paid on Social Security income?,2
How does income tax work on Social Security income in the US?,2
What is the explanation for taxing Social Security income on my tax return?,2
What is a telephone?,2
How does a telephone work?,2
What is the explanation for how telephones function?,2
How much calcium does an adult female need daily?,5
How much calcium should I consume as a female adult?,5
How much calcium is recommended for an average adult female?,5
Whats the term for an object that lives on or in another object?,1
What is the thing that lives on or in another thing?,1
Whats the entity that exists on or within another entity?,1
What thing is caliente in English?,1
What object translates to caliente in English?,1
What thing does caliente stand for in English?,1
What kind of thing is a snail?,1
What is a snail an example of?,1
What object is a snail?,1
What is the description of making dumplings?,2
How to make dumplings in a simple way?,2
What is the process of making dumplings?,2
Who is the U.S. senator who played basketball for the New York Knicks?,3
Which person is a U.S. senator and a former New York Knicks player?,3
Who played basketball for the New York Knicks before becoming a U.S. senator?,3
What is the monster in Spielbergs film Jaws?,1
What entity is the main antagonist in Spielbergs Jaws?,1
What thing is the terrorizing force in the movie Jaws?,1
Where did the name Daniel originate from?,4
Which place is the name Daniel associated with?,4
Where is the origin of the name Daniel located?,4
Who is the American swimmer who won seven gold medals in 1972?,3
Which person won seven gold medals for the US in the 1972 Olympics?,3
Who is the swimmer who won seven Olympic gold medals in 1972?,3
Who is the golfer known as Ohio Fats and Blobbo?,3
Which person is nicknamed Ohio Fats and Blobbo in golf?,3
Who is this golfer called Ohio Fats and Blobbo?,3
What is perfect tense?,2
How to use perfect tenses in sentences?,2
What does perfect tense mean in grammar?,2
What potato blight caused the Irish Famine?,1
What object caused the Irish Famine?,1
What thing led to the Irish Famine?,1
Who was involved in the largest cocaine seizure in Ventura County history?,3
Which person made the biggest cocaine bust in Ventura County history?,3
Who is responsible for the largest cocaine seizure in Ventura County history?,3
What thing was invented in 1916 at the George Jung noodle factory in Los Angeles?,1
What object was created in 1916 at the George Jung noodle factory in Los Angeles?,1
What entity was invented in 1916 at the George Jung noodle factory in Los Angeles?,1
Who is not wise enough to keep a promise?,3
Which person would break a vow for a paradise?,3
Who would lose an oath for a paradise?,3
Who is the French literary character with a big nose?,3
Who is the famous French character known for his large nose?,3
Which famous French person is known for his oversized nose?,3
Where is the southernmost point in continental Europe?,4
Which country has the southernmost point in continental Europe?,4
Where can I find the southernmost point in continental Europe?,4
"What were Baffin, Frobisher, and Franklin looking for?",1
"What things were Baffin, Frobisher, and Franklin searching for?",1
"What objects did Baffin, Frobisher, and Franklin try to find?",1
What things did Ivan IV support in Russian expansion?,1
What objects did Ivan IV support during Russian expansion?,1
What entities did Ivan IV support in his Russian expansion efforts?,1
What is Sinn Fein?,2
How is Sinn Fein defined?,2
What does Sinn Fein mean?,2
What is unusual about Alexandras appearance in Josie and the Pussycats?,2
How is Alexandras appearance described in Josie and the Pussycats?,2
What does Alexandras appearance look like in Josie and the Pussycats?,2
Who is the fast food chain with the golden arches?,3
Which company has the iconic golden arches logo?,3
Who is the popular fast food chain known for golden arches?,3
Who is Admiral of the Ocean Seas and Viceroy and Governor General of his discoveries?,3
Who was granted profits of his voyage?,3
Which person was Admiral of the Ocean Seas and Viceroy and Governor General?,3
What is the outcome of the 1945 Yalta Conference?,2
How was the 1945 Yalta Conference resolved?,2
What was decided at the 1945 Yalta Conference?,2
What object did the Yalta Conference lead to?,1
What thing resulted from the Yalta Conference?,1
What entity did the Yalta Conference give rise to?,1
What did Shea and Gould close their LA office for?,2
Why did Shea and Gould shut down their LA office?,2
What is the reason for Shea and Gould closing their LA office?,2
Where is the Guggenheim Museum located in New York?,4
Which art gallery in New York is known for its modern and contemporary art?,4
Where can I find the Museum of Modern Art in New York City?,4
Where does Superman escape to when he needs solitude?,4
Which place does Superman visit to get away from everything?,4
Where does Superman go to find some peace and quiet?,4
What is the reason San Diego schools stopped serving apples?,2
How to explain why San Diego schools stopped serving apples?,2
What is the description of the reason San Diego schools stopped serving apples?,2
Where was the first co-educational college established?,4
Which state has the first co-educational college?,4
Where is the oldest co-educational college located?,4
Which superhero teams has Angel been a part of?,3
Who are the teams Angel has been a member of?,3
Which organizations has Angel belonged to in comics?,3
Who said I shall return during World War Two?,3
Which person said I shall return during World War Two?,3
Who uttered I shall return during World War Two?,3
What is the Chivington Massacre?,2
How to describe the Chivington Massacre?,2
What is the definition of Chivington Massacre?,2
Who was the first Russian astronaut to do a spacewalk?,3
Which person was the first Russian astronaut to do a spacewalk?,3
Who did the first Russian spacewalk?,3
Where does geothermal activity occur every hour at Yellowstone National Park?,4
Which place in Yellowstone National Park erupts every hour?,4
Where can you find hourly eruptions in Yellowstone National Park?,4
What is the Vietnam War?,2
How to describe the Vietnam War?,2
What is the definition of the Vietnam War?,2
What is Answers.com?,2
How does Answers.com work?,2
What happened to the Answers.com website?,2
What things do Hasidic Jews avoid while dating?,1
What objects are prohibited for Hasidic Jews during courtship?,1
What entities do Hasidic Jews typically abstain from in romantic relationships?,1
Who is the tree growing company?,3
Which company grows trees?,3
Who is a company that grows trees?,3
What is the first of the Seven Wonders of the Ancient World?,1
What ancient structure is considered the first Wonder of the Ancient World?,1
What ancient object is part of the original Seven Wonders of the World?,1
How many people were killed in the Pan Am Flight 103 bombing?,5
How many fatalities occurred in the Lockerbie bombing on December 21?,5
How much did the Pan Am Flight 103 bombing kill?,5
Where is the fictional country described in Gullivers Travels?,4
Which place is twelve times the size of a man in Gullivers Travels?,4
Where can I find the enormous country in Gullivers Travels?,4
What thing was George Washington afraid of?,1
What object did George Washington fear the most?,1
What thing did George Washington have a phobia of?,1
What is the description of what he is doing now?,2
What does he mean by doing it now?,2
How to describe what he is doing at this moment?,2
Where is the best place to buy a Bic lighter?,4
Which place has the cheapest Bic lighters?,4
What is the location of the nearest Bic store?,4
What is the Long March?,2
How does the Long March describe historical events?,2
What is the explanation behind the Long March?,2
"What thing crashed at Lakehurst, New Jersey, on May 6, 1977?",1
"What object exploded at Lakehurst, New Jersey, on May 6, 1977?",1
"What entity was involved in the disaster at Lakehurst, New Jersey, on May 6, 1977?",1
Where is the bloodiest civil war battlefield?,4
Which civil war battlefield is considered the most iconic?,4
Where did the Battle of Gettysburg take place?,4
Who is Sinn Fein?,3
Which political party is Sinn Fein?,3
Who does Sinn Fein support in politics?,3
What is Yale Lock Companys history?,2
How did Yale Lock Company decline?,2
What happened to Yale Lock Companys popularity?,2
What are the only extant trilogy of classical Greek plays?,1
What is the only surviving trilogy of ancient Greek plays?,1
What are the three classical Greek plays that still exist today?,1
What is the process for Irish citizens to work in the US and return to Ireland?,2
How does one describe the immigration process for Irish citizens working in the US?,2
What are the rules for Irish citizens working in the US and then returning to Ireland?,2
What is the highest mountain in the world?,4
Where is the highest mountain located?,4
Which place has the highest mountain in the world?,4
What did ancient Egyptians use as a main food source?,1
What kind of food did the pyramids builders primarily consume?,1
What were the main objects of sustenance for the ancient Egyptian people?,1
When was the first patent for the pull-tab opener on cans granted?,5
How many years ago was the first pull-tab opener can patent issued?,5
What year did the first pull-tab opener can patent get approved?,5
What is the reason for the partition of the Anglican and Vatican churches?,2
How to explain the reason for the partition of the Anglican and Vatican churches?,2
What is the description of the reason for the partition of the Anglican and Vatican churches?,2
Where is the largest country in South America located?,4
Which country in South America is the largest in size?,4
What is the biggest country in South America?,4
