text,label,source
How many stations are there in the Around the World basketball game?,5,llm_augmented
How much time does it take to complete the Around the World basketball game?,5,llm_augmented
What does the word Marijuana mean?,2,llm_augmented
How is the term Marijuana defined?,2,llm_augmented
What is the description of Marijuana?,2,llm_augmented
Where are some good places for parents to find educational resources?,4,llm_augmented
Which places offer educational resources for teachers and parents?,4,llm_augmented
Where can I find educational resources for parents and teachers online?,4,llm_augmented
"Where is the country that covers 8,600,387 square miles?",4,llm_augmented
"Which place covers an area of 8,600,387 square miles?",4,llm_augmented
"Where can I find the location that spans 8,600,387 square miles?",4,llm_augmented
What thing is the moral of the fable The race is not always to the swift?,1,llm_augmented
What object teaches the moral Slow and steady is bound to win?,1,llm_augmented
What entity has the fable The race is not always to the swift as its moral?,1,llm_augmented
What are the popular places to visit in Reims?,4,llm_augmented
Where can I find the main tourist spots in Reims?,4,llm_augmented
Which are the top attractions in Reims for tourists?,4,llm_augmented
How many points is a perfect score in gymnastics?,5,llm_augmented
Whats the highest score in a gymnastics exercise?,5,llm_augmented
How much does a perfect score count in gymnastics?,5,llm_augmented
What objects are spoken in Afghanistan?,1,llm_augmented
What things are native to Afghanistans language?,1,llm_augmented
What entities are languages spoken in Afghanistan?,1,llm_augmented
What does DEET stand for?,0,llm_augmented
What does ABBR DEET mean?,0,llm_augmented
What does DEET abbreviation stand for?,0,llm_augmented
What is amezaiku definition?,2,llm_augmented
How does amezaiku work?,2,llm_augmented
What is an amezaiku explanation?,2,llm_augmented
What is a common dolphin definition?,2,llm_augmented
How to describe a common dolphin?,2,llm_augmented
What does common dolphin mean?,2,llm_augmented
What is a topic outline?,2,llm_augmented
How do you create a topic outline?,2,llm_augmented
What does a topic outline look like?,2,llm_augmented
What does IOC stand for?,0,llm_augmented
What does ABBR for International Olympic Committee?,0,llm_augmented
What is the abbreviation for the Olympic Games governing body?,0,llm_augmented
What is Grenadas main commodity export thing?,1,llm_augmented
What is the main object Grenada exports?,1,llm_augmented
What commodity does Grenada primarily export as a thing?,1,llm_augmented
What year is etched on the Gold Medal of Excellence?,5,llm_augmented
How many years ago was the Paris Exposition held?,5,llm_augmented
What is the price of a can of Campbells tomato soup with a Gold Medal of Excellence?,5,llm_augmented
Where is the largest city in the world located?,4,llm_augmented
Which city is the largest in the world?,4,llm_augmented
Where is the biggest city globally?,4,llm_augmented
Which organization has a Security Council?,3,llm_augmented
Who has a Security Council?,3,llm_augmented
Which person or organization has a Security Council?,3,llm_augmented
What object is the most widely practiced religion?,1,llm_augmented
What thing has the largest following?,1,llm_augmented
What entity is most followed globally?,1,llm_augmented
How many soldiers died in World War II?,5,llm_augmented
What is the total number of deaths in World War II?,5,llm_augmented
How many people lost their lives in World War II?,5,llm_augmented
What objects in English have two us back to back?,1,llm_augmented
What things have consecutive double us in the English language?,1,llm_augmented
What entity in English has double u characters together?,1,llm_augmented
What is a softball thing made of?,1,llm_augmented
What is softball an object made of?,1,llm_augmented
What is the thing called a softball made of?,1,llm_augmented
Where can I find coastal ocean surface temperature information in the Caribbean?,4,llm_augmented
Where are the best places to get up-to-date ocean temperature data along North Americas coast?,4,llm_augmented
Where can I find current ocean surface temperature maps for the North American coastline and Caribbean islands?,4,llm_augmented
Where is the largest producer of roses located?,4,llm_augmented
Which place is known for its rose cultivation?,4,llm_augmented
Where can I find the highest concentration of rose farms?,4,llm_augmented
How much are bottle caps with presidents pictures worth?,5,llm_augmented
How many presidents pictures are on bottle caps?,5,llm_augmented
Whats the value of bottle caps with president pictures inside?,5,llm_augmented
How many Community Chest cards are in the Monopoly game?,5,llm_augmented
How many Community Chest cards are there in the standard Monopoly set?,5,llm_augmented
How many Community Chest cards are included in the classic Monopoly game?,5,llm_augmented
What is a circumorbital hematoma?,2,llm_augmented
How is a circumorbital hematoma defined?,2,llm_augmented
What is meant by a circumorbital hematoma?,2,llm_augmented
What things are raced in the Tour de France?,1,llm_augmented
What objects participate in the Tour de France?,1,llm_augmented
What entities compete in the Tour de France?,1,llm_augmented
