GEN | [cancel_transfer] | Orig: Help please!  My rent payment is coming out tomorrow and I made a payment mistake yesterday! Can you put in in the correct account? -> Aug: My rent payment is scheduled to be withdrawn tomorrow, but I made an error with the payment yesterday. Could you please correct the transfer to the correct account?
GEN | [visa_or_mastercard] | Orig: I would like to know if you use Visa or Mastercard. -> Aug: I'd like to confirm whether you accept Visa or Mastercard.
GEN | [transfer_not_received_by_recipient] | Orig: How long do I have  to wait for my transaction to be completed? -> Aug: When can I expect my transfer to be successfully delivered to the recipient's account?
GEN | [visa_or_mastercard] | Orig: I'd prefer Mastercard. -> Aug: I'd rather use Mastercard.
GEN | [card_payment_fee_charged] | Orig: Let me know when you charge extra for payments please. I just checked the app earlier when I saw that there was an additional fee on one of the payments that I wasn't warned about before. -> Aug: Could you inform me when you deduct extra charges for transactions? I recently checked the app and noticed an unexpected fee on one of the payments, which I wasn't aware of beforehand.
GEN | [wrong_amount_of_cash_received] | Orig: how come when i asked for 100 it only gave me 20.00 in the app -> Aug: I was expecting to receive the full amount of $100, but instead, I only got $20.
GEN | [extra_charge_on_statement] | Orig: How long will the $1 charge show as pending? -> Aug: How long will the extra charge appear as pending on my statement?
GEN | [getting_spare_card] | Orig: I need more physical cards than I have right now! -> Aug: I require additional physical debit/credit cards to have a sufficient supply.
GEN | [why_verify_identity] | Orig: What happens if I use my account and my identity verification hasn't finished? -> Aug: What will happen if I access my account before completing the identity verification process?
GEN | [pending_top_up] | Orig: I have a new card and I can't add money to it.  I tried about 30 minutes ago and it is still pending.  What do I do? -> Aug: I've just got a new card and I'm having trouble topping it up. I attempted to add funds about half an hour ago, but the transaction is still pending. Can you help me resolve this issue?
GEN | [pending_transfer] | Orig: How long does it take for pending to go through -> Aug: How long does it typically take for a pending transfer to be processed?
GEN | [extra_charge_on_statement] | Orig: The $1.00 has still not been reverted as indicated in the previous email. -> Aug: The amount of $1.00 remains outstanding, as previously mentioned in our previous communication.
GEN | [getting_spare_card] | Orig: I would like to get additional physical cards at this time -> Aug: I'd like to obtain extra physical debit/credit cards right now
GEN | [getting_spare_card] | Orig: Can I have a spare card for this account please? -> Aug: Could you provide me with a replacement card for this account?
GEN | [visa_or_mastercard] | Orig: No Visa please. I want to continue with Mastercard. -> Aug: I'd prefer not to use Visa, can I proceed with Mastercard instead?
GEN | [pending_cash_withdrawal] | Orig: I tried to get some with-drawls but the machine didn't work. The transaction still seems in progress.Seems like  something is wrong,I don't want to be charged for Transaction i did not make. -> Aug: I attempted to initiate a cash withdrawal, but the ATM malfunctioned. The transaction appears to be pending, and I'm concerned that I might be charged for a transaction I didn't authorize.
